revision;possibleRenamings;renamingsDueToIdentation
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_1b96b_acdf2/rev_1b96b-acdf2.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_1b433_a6994/rev_1b433-a6994.revisions;15;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1bd69_ca16e/rev_1bd69-ca16e.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_kotlin/revisions/rev_1c7b3_cbf83/rev_1c7b3-cbf83.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_1c12b_a4b11/rev_1c12b-a4b11.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_kotlin/revisions/rev_1c299_22591/rev_1c299-22591.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1c794_d216b/rev_1c794-d216b.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1cbbb_18913/rev_1cbbb-18913.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_gradle/revisions/rev_1cbca_96ba2/rev_1cbca-96ba2.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_lucenesolr/revisions/rev_1cc0e_d90c6/rev_1cc0e-d90c6.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_1ce89_54d9f/rev_1ce89-54d9f.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1cf98_20150/rev_1cf98-20150.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_1d39f_045df/rev_1d39f-045df.revisions;2;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1d285_708c6/rev_1d285-708c6.revisions;2;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1d769_e2251/rev_1d769-e2251.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_gradle/revisions/rev_1dda9_806b8/rev_1dda9-806b8.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_1de2c_a3028/rev_1de2c-a3028.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1df98_df9d6/rev_1df98-df9d6.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1e2a5_3c055/rev_1e2a5-3c055.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_atmosphere/revisions/rev_1e2e2_a32a5/rev_1e2e2-a32a5.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_openrefine/revisions/rev_1e5f8_22a9a/rev_1e5f8-22a9a.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1e5f9_a143d/rev_1e5f9-a143d.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1e185_643d1/rev_1e185-643d1.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_1e388_0a101/rev_1e388-0a101.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_1e537_35e71/rev_1e537-35e71.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1e750_bb7b6/rev_1e750-bb7b6.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_lucenesolr/revisions/rev_1ea91_09367/rev_1ea91-09367.revisions;2;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1ed60_b2b8a/rev_1ed60-b2b8a.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_1efbe_57f6a/rev_1efbe-57f6a.revisions;15;5
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_1f0cd_02503/rev_1f0cd-02503.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_voldemort/revisions/rev_1f1d0_54c90/rev_1f1d0-54c90.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_lucenesolr/revisions/rev_1f4c6_23c62/rev_1f4c6-23c62.revisions;4;1
/home/ines/gjcc/fpfnanalysis/samplerpl/java_orientdb/revisions/rev_1f5cc_436b4/rev_1f5cc-436b4.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1f13e_17945/rev_1f13e-17945.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_voldemort/revisions/rev_1f21e_61f4d/rev_1f21e-61f4d.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_voldemort/revisions/rev_1f412_320c4/rev_1f412-320c4.revisions;3;3
/home/ines/gjcc/fpfnanalysis/samplerpl/java_mct/revisions/rev_1fa0e_ca108/rev_1fa0e-ca108.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1fbdb_2574f/rev_1fbdb-2574f.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_1fd2f_b6d67/rev_1fd2f-b6d67.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_gradle/revisions/rev_1ff23_84ccb/rev_1ff23-84ccb.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_atmosphere/revisions/rev_02c3a_82471/rev_02c3a-82471.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_orientdb/revisions/rev_02c29_44fe1/rev_02c29-44fe1.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_realmjava/revisions/rev_02ff4_f8936/rev_02ff4-f8936.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_2a0ec_8147c/rev_2a0ec-8147c.revisions;0;0
